Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (11ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (2ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_9_CAR.118' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35125.94.
Warning: Vehicle 'f_1_9_CAR.119' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35140.40.
Warning: Vehicle 'f_1_9_TAXI.9' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35143.86.
Warning: Vehicle 'f_1_9_CAR.120' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35150.02.
Warning: Vehicle 'f_1_9_CAR.121' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35156.50.
Warning: Vehicle 'f_1_9_TRUCK.11' performs emergency braking on lane '780157087#0_1' with decel=7.00, wished=4.00, severity=1.00, time=35291.40.
Warning: Vehicle 'f_1_9_CAR.126' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35305.68.
Warning: Vehicle 'f_1_9_CAR.127' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35312.72.
Warning: Vehicle 'f_1_9_CAR.132' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35445.18.
Warning: Vehicle 'f_1_9_TAXI.10' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35451.26.
Warning: Vehicle 'f_1_9_CAR.133' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35457.72.
Warning: Vehicle 'f_1_9_CAR.133' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35458.38.
Warning: Vehicle 'f_2_9_CAR.78' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=35481.00.
Warning: Vehicle 'f_1_9_CAR.138' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35584.90.
Warning: Vehicle 'f_1_9_CAR.139' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35593.42.
Warning: Vehicle 'f_2_9_CAR.81' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=35635.00.
Warning: Vehicle 'f_1_9_CAR.145' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35742.02.
Warning: Vehicle 'f_1_9_TAXI.11' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35762.68.
Warning: Vehicle 'f_1_9_CAR.147' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=35774.34.
Warning: Vehicle 'f_1_9_CAR.151' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35889.74.
Warning: Vehicle 'f_1_9_CAR.152' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35900.70.
Warning: Vehicle 'f_1_10_BUS.0' performs emergency braking on lane '780157087#0_1' with decel=7.00, wished=4.00, severity=1.00, time=36073.42.
Warning: Vehicle 'f_1_10_CAR.121' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=37761.50.
Warning: Vehicle 'f_2_10_CAR.59' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=37791.00.
Warning: Vehicle 'f_1_10_CAR.125' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=37858.94.
Warning: Vehicle 'f_1_10_CAR.137' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=38014.98.
Warning: Vehicle 'f_1_10_CAR.157' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=38306.66.
Warning: Vehicle 'f_9_10_CAR.163' performs emergency braking on lane '703023054_0' with decel=9.00, wished=4.50, severity=1.00, time=38430.86.
Warning: Vehicle 'f_1_11_TAXI.3' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=40814.60.
Warning: Vehicle 'f_9_11_BUS.2' performs emergency braking on lane '703023054_0' with decel=7.00, wished=4.00, severity=1.00, time=42279.30.
Warning: Vehicle 'f_10_11_CAR.26' performs emergency braking on lane ':J2_2_0' with decel=9.00, wished=4.50, severity=1.00, time=42704.48.
Warning: Vehicle 'f_2_11_CAR.186' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=43181.00.
Warning: Vehicle 'f_1_12_CAR.3' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=43262.96.
Warning: Vehicle 'f_2_12_CAR.5' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=43335.00.
Warning: Vehicle 'f_1_12_CAR.27' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=43625.20.
Warning: Vehicle 'f_1_12_CAR.44' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=43889.32.
Warning: Vehicle 'f_1_12_CAR.88' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=44538.58.
